"id","code","name","parent_id/id"
"cat_2146_2","2146.2","Інженери-хіміки","cat_2146"
"cat_2147","2147","Професіонали в галузі гірництва та металургії","cat_214"
"cat_2147_1","2147.1","Наукові співробітники (гірництво, металургія)","cat_2147"
"cat_2147_2","2147.2","Гірничі інженери та інженери-металурги","cat_2147"
"cat_2148","2148","Професіонали в галузі картографії та топографії","cat_214"
"cat_2148_1","2148.1","Наукові співробітники (картографія, топографія)","cat_2148"
"cat_2148_2","2148.2","Картографи та топографи","cat_2148"
"cat_2149","2149","Професіонали в інших галузях інженерної справи","cat_214"
"cat_2149_1","2149.1","Наукові співробітники (інші галузі інженерної справи)","cat_2149"
"cat_2149_2","2149.2","Інженери (інші галузі інженерної справи)","cat_2149"
"cat_22","22","Професіонали в галузі наук про життя та медичних наук","cat_2"
"cat_221","221","Професіонали в галузі наук про життя та медичних наук","cat_22"
"cat_2211","2211","Біологи, ботаніки, зоологи та професіонали споріднених професій","cat_221"
"cat_2211_1","2211.1","Наукові співробітники (біологія, ботаніка, зоологія та ін.)","cat_2211"
"cat_2211_2","2211.2","Біологи, ботаніки, зоологи та професіонали споріднених професій","cat_2211"
"cat_2212","2212","Професіонали в галузі патології, токсикології, фармакології, фізіології та епідеміології","cat_221"
"cat_2212_1","2212.1","Наукові співробітники (патологія, токсикологія, фармакологія, фізіологія, епідеміологія)","cat_2212"
"cat_2212_2","2212.2","Патологи, токсикологи, фармакологи, фізіологи та епідеміологи","cat_2212"
"cat_2213","2213","Професіонали в агрономії, водному господарстві, зооінженерії, лісівництві, меліорації та природно-заповідній справі","cat_221"
"cat_2213_1","2213.1","Наукові співробітники (агрономія, водне господарство, зооінженерія, лісівництво, меліорація та природно-заповідна справа)","cat_2213"
"cat_2213_2","2213.2","Агрономи, гідротехніки, зооінженери, лісоводи та професіонали споріднених професій","cat_2213"
"cat_222","222","Професіонали в галузі медицини (крім медичних сестер)","cat_22"
"cat_2221","2221","Професіонали в галузі лікувальної справи (крім стоматології)","cat_222"
"cat_2221_1","2221.1","Наукові співробітники (лікувальна справа, крім стоматології)","cat_2221"
"cat_2221_2","2221.2","Лікарі","cat_2221"
"cat_2222","2222","Професіонали в галузі стоматології","cat_222"
"cat_2222_1","2222.1","Наукові співробітники (стоматологія)","cat_2222"
"cat_2222_2","2222.2","Стоматологи","cat_2222"
"cat_2223","2223","Професіонали в галузі ветеринарної медицини","cat_222"
"cat_2223_1","2223.1","Наукові співробітники (ветеринарна медицина)","cat_2223"
"cat_2223_2","2223.2","Ветеринари","cat_2223"
"cat_2224","2224","Професіонали в галузі фармації","cat_222"
"cat_2224_1","2224.1","Наукові співробітники (фармація)","cat_2224"
"cat_2224_2","2224.2","Фармацевти","cat_2224"
"cat_2225","2225","Професіонали в галузі медико-профілактичної справи","cat_222"
"cat_2225_1","2225.1","Наукові співробітники в галузі медико-профілактичної справи","cat_2225"
"cat_2225_2","2225.2","Лікарі, фахівці в галузі медико-профілактичної справи","cat_2225"
"cat_2229","2229","Інші професіонали в галузі медицини (крім сестринської справи та акушерства)","cat_222"
"cat_2229_1","2229.1","Наукові співробітники в галузі медицини (крім сестринської справи та акушерства)","cat_2229"
"cat_2229_2","2229.2","Професіонали в галузі медицини (крім сестринської справи та акушерства)","cat_2229"
"cat_223","223","Професійні медичні сестри та акушерки","cat_22"
"cat_2230","2230","Професіонали в галузі сестринської справи та акушерства","cat_223"
"cat_2230_1","2230.1","Наукові співробітники (сестринська справа, акушерство)","cat_2230"
"cat_2230_2","2230.2","Медичні сестри та акушерки","cat_2230"
"cat_23","23","Професіонали в галузі освіти та навчання","cat_2"
"cat_231","231","Викладачі  закладів вищої освіти","cat_23"
"cat_2310","2310","Викладачі закладів вищої освіти","cat_231"
"cat_2310_1","2310.1","Професори та доценти","cat_2310"
"cat_2310_2","2310.2","Інші викладачі закладів вищої освіти","cat_2310"
"cat_232","232","Викладачі закладів фахової передвищої освіти, професійної освіти та вчителі закладів загальної середньої освіти","cat_23"
"cat_2320","2320","Вчителі закладів загальної середньої освіти та  спеціалізованої освіти","cat_232"
"cat_2321","2321","Викладачі закладів професійної освіти","cat_232"
"cat_2322","2322","Викладачі закладів фахової передвищої освіти","cat_232"
"cat_233","233","Вчителі початкової школи та працівники закладів дошкільної освіти","cat_23"
"cat_2331","2331","Вчителі початкової школи","cat_233"
"cat_2332","2332","Вихователі закладів дошкільної освіти","cat_233"
"cat_234","234","Вчителі закладів спеціальної освіти","cat_23"
"cat_2340","2340","Вчителі закладів спеціальної освіти","cat_234"
"cat_235","235","Інші професіонали в галузі освіти та навчання","cat_23"
"cat_2351","2351","Професіонали в галузі методів навчання","cat_235"
"cat_2351_1","2351.1","Наукові співробітники (методи навчання)","cat_2351"
"cat_2351_2","2351.2","Інші професіонали в галузі методів навчання","cat_2351"
"cat_2352","2352","Інспектори навчальних закладів","cat_235"
"cat_2359","2359","Інші професіонали в галузі освіти та навчання","cat_235"
"cat_2359_1","2359.1","Інші наукові співробітники в галузі навчання","cat_2359"
"cat_2359_2","2359.2","Інші професіонали в галузі навчання","cat_2359"
"cat_24","24","Інші професіонали","cat_2"
"cat_241","241","Професіонали в сфері державної служби, аудиту, бухгалтерського обліку, праці та зайнятості, маркетингу, ефективності підприємництва, раціоналізації виробництва та інтелектуальної власності","cat_24"
"cat_2411","2411","Професіонали в галузі аудиту та бухгалтерського обліку","cat_241"
"cat_2411_1","2411.1","Наукові співробітники (аудит, бухгалтерський облік)","cat_2411"
"cat_2411_2","2411.2","Аудитори та кваліфіковані бухгалтери","cat_2411"
